ticker_b3,M0_RW,M1_GARCH,M2_GARCHX
CAMB3,0.8260801365673127,0.4500566841668358,0.6242909556086831
CAML3,1.3467511760426063,0.39360384278551463,0.5570736309409254
CASH3,3.475651838861356,1.4590066823571393,1.2078000442225059
CEBR3,4.583103853051861,3.4469041974421253,1.9888029556606304
CEBR5,4.432403868606385,0.8180743340902796,0.8350642927048536
CEBR6,2.451525043926471,0.9010839962579775,0.9645130885390153
CEDO4,15.910081046059434,1.101839107696563,1.06584705716355
CGAS3,516.0083406385246,2.497285098389821,2.4129188377774953
CGRA4,1.3306152307750982,1.002910987701321,3.332665259097468
CMIG3,1.5920969093519943,0.5505135088626498,0.64787968417612
CMIG4,0.8355663540079892,0.41000493038022306,0.4879469223503912
COCE5,1.6830543639720077,0.5002918195820619,0.5267517543380175
COGN3,1.0087553079604537,0.3543444474381829,0.3881661843834556
CPFE3,1.3072251073104268,0.5390162115084733,0.6770296712760687
CPLE3,0.6917179193816066,0.34553119387832065,0.33376472746079267
CRPG5,1.876815035205441,1.7575477173101084,1.8628907564823893
CRPG6,37.27989777527569,1.940850690665273,2.155377838464168
CSAN3,0.8506846774017766,0.5933716866259889,0.7755835605318278
CSMG3,0.993196047960551,0.4745788408416732,0.4473346125730141
CSUD3,0.9511843511059076,0.42494170576510104,0.5110230842494594
CTKA4,2306.7241205616288,1.7041361291467434,1.657688405099084
CTSA3,12.872196204001604,2.4212644116172766,4.923133202879036
CTSA4,4.452797480759008,1.1045662518446098,1.8580041218232304
CURY3,0.9413828854211299,0.4375971563321888,0.41495716699264074
CYRE3,1.5784628223203025,0.6405868238815208,0.7296229693592293
DASA3,1.2290198749276038,0.4057130436055358,0.412172748698573
DEXP3,0.9844336631758456,0.5759965253988396,0.5995039845629802
DEXP4,1.7615674384915374,0.6581612099855645,0.7161444609687037
DIRR3,2.0476910170506417,0.5574257896921361,0.579811681974282
DMVF3,1.0202765209548519,0.4625759435340389,0.48064244764851605
DOHL4,5.6338176295877895,1.5352424663477948,1.4957606037913729
EALT3,10.443835429932928,1.0891561168492465,1.0851084733748775
EALT4,1.4137867988112887,0.6741259305883223,0.962728256697464
ECOR3,1.0229674851567503,0.5838772851354893,0.7213945836063523
EGIE3,1.4995764455203822,0.8837429875794055,1.1104558661519348
EKTR4,263.64212376935853,1.5516000390293978,1.700219827868569
EMAE4,11.528090888511214,1.3339069886289612,1.4418655614126048
ENEV3,0.7754135912399915,0.9169498220508318,0.7313083092262764
ENGI11,0.7946587609633111,0.33700882454763526,0.3608283556967868
ENGI3,0.9052611141381659,0.6072072707322977,0.5917367672303805
ENGI4,1.1236972028850742,0.5882819896407891,0.597889764355445
ENJU3,1.7287924807762567,0.6939391349902604,0.8835012591931868
EPAR3,3.9344665048712324,1.247319529059813,1.279234241986231
EQMA3B,244.98649280987036,1.5896476919811158,1.7357195862257064
EQTL3,1.1133181877580676,0.6303091316144175,0.6309426799218619
ESTR4,48.15994189725318,5.698325191091201,8.835793193365602
ETER3,2.053154158657074,1.0169019232717098,1.0687513541819258
EUCA3,11.131544411305768,1.0513167912108816,1.1876336514304178
EUCA4,1.3026668256001515,0.6935843212729248,0.8996652677390795
EVEN3,1.087288364073073,0.4067910866206279,0.6043045899711655
EZTC3,0.9963644036867841,0.39377438696939093,0.3999735294912066
FESA3,24.51968924686181,1.1133216711724971,1.166237969947318
FESA4,2.581289524549607,0.7080720929179954,0.6842486229296795
FHER3,2.3345883717846583,5.367803637392907,7.750878909457119
FLRY3,1.7836022458557013,0.8128163490048071,0.7115749754212275
GEPA3,54.08067287494171,1.418374796962602,1.4767485053805876
GEPA4,19.531513820884737,1.5270690392216941,1.8276878152903882
GFSA3,1.4613589092995867,0.8514126004081043,0.9478115860226666
GGBR3,1.1835529673673761,0.5153770415282951,0.5754111975288673
GGBR4,1.2173802325126493,0.6790173602835383,0.7429384583568118
GMAT3,0.8099792356773851,0.5224536619789653,0.49895134222817716
GOAU3,0.9340064953456508,0.48724059784710744,0.5386819487677151
GOAU4,6.555984020024302,0.504204221406558,0.48775614299126174
GRND3,2.1148765928398006,0.7606454409780413,1.0285490739260323
HAGA3,1.4824841134464013,0.9736766523236489,1.0482234485175206
HAGA4,1.5860412811119242,1.0153747079170794,0.8035287939025882
HAPV3,2.511323424054901,2.6114087879729526,3.086446586777809
HBOR3,1.393404015514167,1.4136503562743132,1.1160728561340303
HBRE3,1.1289291926756055,0.5417969791901209,0.5040321895000996
HBSA3,1.0713673069709944,0.5178859801807341,0.5310313809764882
HBTS5,528.181271314473,1.4893726974496753,1.6150104782132675
HETA4,19.87405171460872,3.553502838791003,2.959374178289425
HOOT4,3.9393429480999607,1.4337867484409472,1.107627335512968
HYPE3,1.4224287704311414,0.7914621908047924,0.8162890040265988
INEP3,4.738730994261652,0.8372989373659042,1.0831000883654487
INEP4,1.5573042720989976,0.7861717365572195,0.7930678185511426
ISAE4,1.327542736522219,0.5693985509985604,0.7426413978010491
ITSA3,1.1277328091101797,0.5314402025687825,0.5652314451298154
ITSA4,1.135452929899891,0.714460673346859,0.6079451368875313
ITUB3,1.0860381145210363,0.5430423946002142,0.5961984742682321
ITUB4,1.0075010033918383,0.55553892218855,0.5734034409304015
JFEN3,3.0314367131752085,1.004072507576074,1.1733809078424733
JHSF3,1.1640962592594934,0.46961269834610325,0.6569760202989814
JSLG3,1.701876863118199,0.9118531042815589,1.033197898506838
KEPL3,1.0526728841414001,0.6556015276623605,0.7670815118589694
KLBN11,1.5741656586024078,0.4366446628083617,0.4329380478107481
KLBN3,1.6908178199794552,0.5641091616780851,0.4430408393297807
KLBN4,1.0572915950405848,0.3893326033012983,0.40946825027343703
LAVV3,0.9715182411291041,0.5314876011755868,0.5211130705398065
LEVE3,0.9823386238885724,0.4859801318288504,0.5079992913285004
LIGT3,2.7543585493473963,0.6459101515894694,0.9349939258353139
