ticker_b3,modelo,i,z
AALR3,m1,152,0.20862794702110055
AALR3,m1,153,-0.04079829215590219
AALR3,m1,154,2.1563909443592917
AALR3,m1,155,-1.394162712269386
AALR3,m1,156,-1.2193114252490718
AALR3,m2,1,0.07291161371244724
AALR3,m2,2,0.06813448583998777
AALR3,m2,3,0.09873769026131522
AALR3,m2,4,0.08704806886201841
AALR3,m2,5,0.029879367211400554
AALR3,m2,6,0.14676017920145187
AALR3,m2,7,0.03994205299321721
AALR3,m2,8,0.07272747274623181
AALR3,m2,9,0.026401782790485974
AALR3,m2,10,0.16168138869735615
AALR3,m2,11,0.06103176535464392
AALR3,m2,12,0.1578291922122367
AALR3,m2,13,0.0638377601332227
AALR3,m2,14,0.14730946921120902
AALR3,m2,15,0.16133875914081885
AALR3,m2,16,0.08012199337182148
AALR3,m2,17,0.1451108102453954
AALR3,m2,18,0.07258384758798
AALR3,m2,19,0.07130382660720247
AALR3,m2,20,0.09153676031402987
AALR3,m2,21,-0.45718734574417874
AALR3,m2,22,-4.1563482977300215
AALR3,m2,23,-1.0831235494828224
AALR3,m2,24,-1.0331378641004916
AALR3,m2,25,0.13701159117459372
AALR3,m2,26,1.1354545436751593
AALR3,m2,27,-0.2925424270924934
AALR3,m2,28,1.146161873903123
AALR3,m2,29,-0.489527708428007
AALR3,m2,30,1.2878199708757956
AALR3,m2,31,-2.5438267701786703
AALR3,m2,32,1.1526181998640377
AALR3,m2,33,0.7383939575482162
AALR3,m2,34,0.5703095576817173
AALR3,m2,35,0.13779420183849259
AALR3,m2,36,0.30427464556057365
AALR3,m2,37,1.2439556492372772
AALR3,m2,38,-0.5392679431182934
AALR3,m2,39,-0.25294889592904657
AALR3,m2,40,-0.2698224233421478
AALR3,m2,41,-0.020297746606313033
AALR3,m2,42,-1.2252926730683387
AALR3,m2,43,0.15487309368476887
AALR3,m2,44,-0.4527822382698131
AALR3,m2,45,0.08193757306592853
AALR3,m2,46,-0.11983816447829222
AALR3,m2,47,0.39178429698426503
AALR3,m2,48,0.16034366348989837
AALR3,m2,49,0.2302166362313111
AALR3,m2,50,-0.5010261297812779
AALR3,m2,51,-1.3455665575320028
AALR3,m2,52,0.15016756330187941
AALR3,m2,53,1.5950098343292347
AALR3,m2,54,0.8234317967099095
AALR3,m2,55,0.26033441700980137
AALR3,m2,56,0.6029124170538505
AALR3,m2,57,0.35582183362755815
AALR3,m2,58,0.28768601276799644
AALR3,m2,59,0.12928900148618297
AALR3,m2,60,0.16916296959019025
AALR3,m2,61,0.07471740818128454
AALR3,m2,62,-0.08575394923201554
AALR3,m2,63,-0.13747804956005819
AALR3,m2,64,0.5626224532173351
AALR3,m2,65,-0.7093671905333424
AALR3,m2,66,0.32760890038171525
AALR3,m2,67,0.4114709771641301
AALR3,m2,68,1.9007703744741806
AALR3,m2,69,1.2148138082106683
AALR3,m2,70,-1.3607202299835488
AALR3,m2,71,-1.1498693652810894
AALR3,m2,72,-0.685018663983043
AALR3,m2,73,0.4556798490701172
AALR3,m2,74,1.5634732564947496
AALR3,m2,75,2.1678937620782213
AALR3,m2,76,1.06859400785829
AALR3,m2,77,-0.5295946648365374
AALR3,m2,78,0.6996992199330456
AALR3,m2,79,-0.41157329253747693
AALR3,m2,80,-0.2092102331689775
AALR3,m2,81,0.20224028394681515
AALR3,m2,82,-0.08471975542263152
AALR3,m2,83,-1.7149338884587564
AALR3,m2,84,1.4870147239505531
AALR3,m2,85,-0.25261861701001287
AALR3,m2,86,0.47572057235572085
AALR3,m2,87,-0.3172012767867738
AALR3,m2,88,-0.7081579352420929
AALR3,m2,89,-0.6166139754725127
AALR3,m2,90,-0.6723136291403119
