ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario,svi_log_dev_adf_stat,svi_log_dev_adf_pvalor,svi_log_dev_estacionario,svi_exp_dev_adf_stat,svi_exp_dev_adf_pvalor,svi_exp_dev_estacionario
PDTC3,-2.2159,0.2005,False,-7.0062,0.0,True,-8.2393,0.0,True,-11.7709,0.0,True
PEAB3,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
PEAB4,-6.4801,0.0,True,-13.7763,0.0,True,-6.0477,0.0,True,-5.7903,0.0,True
PETR3,-3.7099,0.004,True,-9.5368,0.0,True,-7.3796,0.0,True,-6.9012,0.0,True
PETR4,-4.4909,0.0002,True,-9.1856,0.0,True,-7.247,0.0,True,-7.0255,0.0,True
PFRM3,-5.2602,0.0,True,-11.6617,0.0,True,-8.0617,0.0,True,-8.7784,0.0,True
PGMN3,-5.3487,0.0,True,-9.397,0.0,True,-13.0458,0.0,True,-12.239,0.0,True
PINE3,-13.0429,0.0,True,-8.494,0.0,True,-14.3198,0.0,True,-12.8539,0.0,True
PINE4,-2.9737,0.0374,True,-9.4223,0.0,True,-7.058,0.0,True,-5.4421,0.0,True
PLAS3,-4.2277,0.0006,True,-12.728,0.0,True,-16.2198,0.0,True,-16.2135,0.0,True
PLPL3,-5.7867,0.0,True,-9.4062,0.0,True,-5.6342,0.0,True,-8.2283,0.0,True
PMAM3,-5.5966,0.0,True,-11.1177,0.0,True,-7.5463,0.0,True,-7.9626,0.0,True
PNVL3,-2.3801,0.1474,False,-9.4429,0.0,True,-4.3188,0.0004,True,-4.1753,0.0007,True
POMO3,-0.287,0.9273,False,-7.298,0.0,True,-14.3066,0.0,True,-11.349,0.0,True
POMO4,-3.4152,0.0105,True,-7.8831,0.0,True,-9.1248,0.0,True,-8.275,0.0,True
POSI3,-4.7013,0.0001,True,-6.0119,0.0,True,-10.1629,0.0,True,-9.9228,0.0,True
PPLA11,-16.3987,0.0,True,-8.752,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
PRIO3,-7.8921,0.0,True,-11.8999,0.0,True,-9.9173,0.0,True,-9.5144,0.0,True
PRNR3,-3.0713,0.0288,True,-10.7334,0.0,True,-13.2448,0.0,True,-8.6426,0.0,True
PSSA3,-2.8437,0.0523,False,-4.4799,0.0002,True,-3.6508,0.0049,True,-3.7004,0.0041,True
PTBL3,-2.1618,0.2204,False,-6.0224,0.0,True,-13.5729,0.0,True,-12.7707,0.0,True
PTNT3,-13.9446,0.0,True,-11.321,0.0,True,-17.8045,0.0,True,-18.2134,0.0,True
PTNT4,-5.5605,0.0,True,-12.3752,0.0,True,-11.0714,0.0,True,-11.0192,0.0,True
QUAL3,-2.7,0.074,False,-8.4745,0.0,True,-7.792,0.0,True,-12.4365,0.0,True
RADL3,-2.7555,0.0649,False,-4.6021,0.0001,True,-2.8874,0.0468,True,-2.735,0.0682,False
RAIL3,-4.0101,0.0014,True,-8.8552,0.0,True,-11.2863,0.0,True,-11.3489,0.0,True
RANI3,-3.8333,0.0026,True,-10.8947,0.0,True,-7.8338,0.0,True,-6.1847,0.0,True
RAPT3,-5.9767,0.0,True,-7.7238,0.0,True,-6.7537,0.0,True,-6.8019,0.0,True
RAPT4,-2.4331,0.1326,False,-8.9775,0.0,True,-12.4839,0.0,True,-7.658,0.0,True
RCSL3,-4.9142,0.0,True,-8.6517,0.0,True,-6.7881,0.0,True,-5.0029,0.0,True
RCSL4,-2.3394,0.1596,False,-10.5511,0.0,True,-7.9029,0.0,True,-3.6633,0.0047,True
RDOR3,-3.9244,0.0019,True,-8.9693,0.0,True,-8.1112,0.0,True,-11.3942,0.0,True
REDE3,-11.0775,0.0,True,-7.3706,0.0,True,-10.6988,0.0,True,-10.8106,0.0,True
RENT3,-4.0153,0.0013,True,-8.1942,0.0,True,-10.9814,0.0,True,-10.2061,0.0,True
RNEW3,-4.2053,0.0006,True,-10.9507,0.0,True,-6.8133,0.0,True,-7.8831,0.0,True
RNEW4,-4.9571,0.0,True,-8.6805,0.0,True,-7.1889,0.0,True,-7.3371,0.0,True
ROMI3,-5.1882,0.0,True,-4.7641,0.0001,True,-11.5694,0.0,True,-11.7325,0.0,True
RPAD3,-22.9508,0.0,True,-8.7695,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
RPAD5,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
RPAD6,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
RPMG3,-2.152,0.2241,False,-8.336,0.0,True,-13.296,0.0,True,-3.6514,0.0049,True
RSID3,-2.5205,0.1106,False,-5.2867,0.0,True,-5.8121,0.0,True,-2.1456,0.2266,False
RSUL4,-5.5598,0.0,True,-8.9076,0.0,True,-5.4506,0.0,True,-5.4871,0.0,True
