ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4
OIBR3,103,0.8416505974818308,0.3261491611246576,53.398058252427184,0.3270360817618496,-0.06280368999857107,0.8416505974818308,0.3261491611246576,53.398058252427184,2.694842454224167e-7,0.9999999872523684,0,1.4442021726817165,0.312158000622386,0.9473982127602696,0.9382811272321884
OIBR4,103,0.06893226455377291,0.5469693314642241,4.854368932038835,0.6006407017862737,0.6206949220646298,0.06893226455377291,0.5469693314642241,4.854368932038835,0.2308871867553925,0.9894178236941005,0,0.4402568982176419,0.38475532451063466,0.8783257850418017,0.8824854777731691
OSXB3,103,-0.006868166904467621,0.13835931761644804,74.75728155339806,1.1403178373408636,0.9706443108764293,-0.006868166904467621,0.13835931761644804,74.75728155339806,0.08634875758437581,0.909642459810274,1.9417475728155338,0.12032744746173397,0.10252750943104308,0.9843118837124403,0.983548043316133
PATI3,103,0.01599632350986578,0.07505642170981859,81.55339805825243,0.7719355088228841,0.36288300305395765,0.01599632350986578,0.07505642170981859,81.55339805825243,0.9000758771671042,0.5351089098168922,8.737864077669903,0.12789095154239039,0.023532791009467563,0.9176274216085083,0.8775667159461983
PATI4,103,0.3009196676627293,0.9310148943596588,5.825242718446602,0.5543752124333471,0.5262618080702613,0.3009196676627293,0.9310148943596588,5.825242718446602,0.08594256548104329,0.9805820726445879,1.9417475728155338,0.3305186934049282,0.3238774547187801,0.7835727523961794,0.7867995093839228
PCAR3,103,-0.384022974068508,0.004299796140063447,99.02912621359224,-0.08024794938820838,-0.15577530126511582,-0.384022974068508,0.004299796140063447,99.02912621359224,9.640209573029893e-9,0.9999999225577109,0,0.050150385238333685,0.31201892552095983,0.9916648216745756,0.7045961564293228
PDGR3,103,0.29446384518524266,0.09048360581641514,71.84466019417476,-0.2943978803923348,-0.37283416444139295,0.29446384518524266,0.09048360581641514,71.84466019417476,9.801083865133928e-9,0.9999999971659094,0,-0.3491118311837437,-0.29849768121094417,0.9467432006289453,0.9981072379190261
PDTC3,103,0.0043626261325876246,0.6094075034576404,9.70873786407767,0.47594873497586676,0.38173241694472393,0.0043626261325876246,0.6094075034576404,9.70873786407767,8.30909242248793e-9,0.9999957218397522,0,0.16435085660293872,0.15942783314877768,0.9973370147742275,0.9974722867559104
PEAB3,103,0.5790996985906461,0.3676858222308068,4.854368932038835,0.5082257833849384,0.47828450433520886,0.5790996985906461,0.3676858222308068,4.854368932038835,8.499750767036657e-5,0.9999977817532971,0,0.36225655949258906,0.3981570786812228,0.9212644110457044,0.9180980535553669
PEAB4,103,-0.0934039382380731,0.029486522494533467,94.1747572815534,0.30767451988494104,0.042314814628302506,-0.0934039382380731,0.029486522494533467,94.1747572815534,9.380164476379826e-9,0.9999980376587907,0,-0.2922728965719024,-0.22270530804356864,0.9949987316597698,0.9956009558567395
PETR3,103,-0.8462513995272173,0.10507918205521022,69.90291262135922,0.7446557409762986,0.5637334252165794,-0.8462513995272173,0.10507918205521022,69.90291262135922,5.179172849729054e-9,0.9999999625933262,0,0.04878901532519265,0.3189033771612014,0.933683123264451,0.9337937157996306
PETR4,103,-0.3585771169962443,0.2152984725363578,12.62135922330097,0.7200991297353397,0.6046388897813538,-0.3585771169962443,0.2152984725363578,12.62135922330097,5.030677116431026e-9,0.9999984425540478,0,0.19357041438725947,0.3316534337680973,0.9315749012071051,0.9316207978751787
PFRM3,103,-0.006238119802803555,0.4597230080939478,3.8834951456310676,0.6616351447189343,0.7326228614966194,-0.006238119802803555,0.4597230080939478,3.8834951456310676,0.03214532746776141,0.9079839572924813,0,0.3395640132707931,0.3019293368758423,0.7030726612986891,0.7181567815999572
PGMN3,103,-0.2903032377791316,0.0294704708397536,89.32038834951457,0.3478127818807795,0.34315168937941426,-0.2903032377791316,0.0294704708397536,89.32038834951457,9.23448691844545e-9,0.9999969060909629,0,-0.16352043537844188,-0.04148720617205897,0.9955826814892509,0.994537058153437
PINE3,103,0.012851723251598848,0.1469284298397598,68.93203883495146,0.6204770030503066,0.7235783378487997,0.012851723251598848,0.1469284298397598,68.93203883495146,1.1412150139787365e-9,0.9999985460725177,0,0.339777585968369,0.36162039500430576,0.9968218877120831,1.2692479799979466
PINE4,103,0.008233176892470162,0.3901272574779219,39.80582524271845,0.8586438478260119,0.688461783515455,0.008233176892470162,0.3901272574779219,39.80582524271845,0.1763414775670229,0.9155886309087031,0,0.3600294010557658,0.10895820225446676,0.899157536733284,0.8951466265928721
PLAS3,103,-0.03413411080681748,0.5640986179983682,14.563106796116504,0.8337890137609335,0.7559599906824014,-0.03413411080681748,0.5640986179983682,14.563106796116504,8.083369040659974e-9,0.9999978902921276,0,0.2216784007599409,0.15341931089445185,0.8989366936623584,0.8738859180343111
