ticker_b3,modelo,n_obs,media_z,sd_z,assimetria,curtose,lb_z_stat,lb_z_pvalor,lb_z2_stat,lb_z2_pvalor,jb_stat,jb_pvalor
EPAR3,m1,156,0.045386186513740476,1.0073739544885767,0.8918788091391938,8.20033317890638,8.998384206258677,0.5322569282368952,4.614274982491242,0.9154126926509933,196.46416668060473,0
EPAR3,m2,156,0.07855426547622507,1.0077713648631272,0.2111294823524445,6.799002559042514,14.044324611370275,0.17097940978176462,2.946324080457165,0.9826591359117925,94.96969999975391,0
EQMA3B,m1,156,0.008906301537947163,1.0025503987927897,0.3855525554649872,3.5188042253327128,14.732834395786217,0.14211006420308991,4.609631205853888,0.9156853245812062,5.614445956115139,0.060372415338293184
EQMA3B,m2,156,0.006783200763406319,1.002161356486692,0.29799785326039674,3.2647670449641155,15.644646942256534,0.11026670457997034,6.166656369530523,0.8010724764371392,2.7645310568866233,0.251009239833232
EQPA3,m1,156,-0.14314682708343843,1.053284084895022,0.28898277575607817,3.563639500976712,6.987615629262506,0.7266135945744299,5.146082651882799,0.8812082241542765,4.236268827674181,0.12025576686641826
EQPA3,m2,156,-0.009395825932675204,1.0093045946317383,0.34551808783676496,6.221321686201971,3.8147424534267267,0.9553174930754667,4.081409801372862,0.9435997082468065,70.55388861354996,4.440892098500626e-16
EQTL3,m1,156,0.02021770268845382,1.1097288971053316,0.39429582712927985,2.878449625494806,5.177646879371106,0.8789993325815372,5.841975458531534,0.8283603759692147,4.13823338960593,0.1262972915031526
EQTL3,m2,156,0.0034508072573927644,0.9980410471903319,0.275043443764714,2.8935078303380397,6.122647046431371,0.8048558173276256,7.45712328453836,0.6816989085249421,2.040585079202316,0.36048946730134857
ESPA3,m1,156,-0.016585094965698703,1.1096101269050533,0.20883793012816618,4.618725062593614,15.25997219617472,0.12286728288399562,6.572798416725083,0.7650655492917818,18.16570569131217,1.1359706984181983e-4
ESPA3,m2,156,-0.01985627867636223,1.1084943390749318,0.22470619404136524,4.630376599026306,15.15814407108692,0.1264017023466555,6.3625315176015,0.7839410670881364,18.590645769896245,9.185283465917848e-5
ESTR4,m1,156,-0.028405607944731088,0.9884759842470964,2.3686047570125863,19.778449439162802,4.24745212330758,0.935494273919793,3.8963368533078007,0.9519022437444646,1975.7238771550358,0
ESTR4,m2,156,-0.07220325949914383,1.1071635727361624,0.8032416539646646,8.66104130591443,7.2422558804898935,0.7023936622275189,19.056053290181683,0.03955646959276882,225.08315235851197,0
ETER3,m1,156,0.004678107651876602,0.9996967401948139,0.2199678147687971,4.17100858323747,12.659545500222173,0.24333470370770427,7.717134058060021,0.6564448163261742,10.17122899099102,0.00618508521530392
ETER3,m2,156,0.02355185901760816,0.9992390215955405,0.11869115509530555,4.074261259603144,12.2954890481657,0.26576718674066013,8.471954088134407,0.5828385615696928,7.867519497991164,0.01956995593973221
EUCA3,m1,156,-0.02724467186417376,0.9892717055962285,0.012345208155109888,2.94780950987836,13.721081980698107,0.1860982500870565,9.234445994652075,0.5100078666013088,0.021667515458607782,0.9892247160698036
