semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3
2025-05-30,8.529313087463379,8.699145317077637,152310690.0,5,0.00436091196216555,0.024150482157984945,MGLU3.SA,MGLU3
2025-06-06,9.001068115234375,8.963327407836914,224941500.0,5,0.010029978373721908,0.02991673911229109,MGLU3.SA,MGLU3
2025-06-13,8.944457054138184,8.434962272644043,169979670.0,5,0.0054704477581952165,-0.060756277258313826,MGLU3.SA,MGLU3
2025-06-20,9.001068115234375,8.35004711151123,111263460.0,4,0.007740049313858679,-0.010118062328343377,MGLU3.SA,MGLU3
2025-06-27,8.406658172607422,8.774625778198242,143455935.0,5,0.0016438439362115834,0.04959694113937199,MGLU3.SA,MGLU3
2025-07-04,9.29355525970459,8.727449417114258,125326845.0,5,0.008370405121832833,-0.005390957907840344,MGLU3.SA,MGLU3
2025-07-11,8.595359802246094,7.585805416107178,112849065.0,5,0.004346570165428075,-0.14019437163232162,MGLU3.SA,MGLU3
2025-07-18,7.500889301300049,7.434844017028809,113276205.0,5,0.002044462079336097,-0.02010119240344513,MGLU3.SA,MGLU3
2025-07-25,7.170661926269531,7.0763115882873535,97387710.0,5,0.004200277204805183,-0.049424790288350166,MGLU3.SA,MGLU3
2025-08-01,6.774388790130615,6.812129020690918,117013680.0,5,0.007243389214771865,-0.03804810702321511,MGLU3.SA,MGLU3
2025-08-08,6.774388790130615,6.64229679107666,98017080.0,5,0.003290680528687692,-0.02524689687967542,MGLU3.SA,MGLU3
2025-08-15,6.623426914215088,6.246023178100586,104368320.0,5,0.0020491132753818297,-0.061512836223472644,MGLU3.SA,MGLU3
2025-08-22,6.519641399383545,6.5102057456970215,95412450.0,5,0.0036479346320821863,0.04142609055776594,MGLU3.SA,MGLU3
2025-08-29,6.717778205871582,7.727332592010498,128914800.0,5,0.011559500391188934,0.17139267058047644,MGLU3.SA,MGLU3
2025-09-05,7.8122477531433105,8.746320724487305,121936395.0,5,0.007834882301431745,0.12386939244607142,MGLU3.SA,MGLU3
2025-09-12,8.406658172607422,9.29355525970459,139381410.0,5,0.009196275442257613,0.06068805379879372,MGLU3.SA,MGLU3
2025-09-19,9.982316017150879,10.482375144958496,154812525.0,5,0.008176636928704403,0.1203741120760062,MGLU3.SA,MGLU3
2025-09-26,10.227627754211426,10.557855606079102,125765640.0,5,0.0013381259050461538,0.00717490086678505,MGLU3.SA,MGLU3
2025-10-03,10.02005672454834,8.633099555969238,198501450.0,5,0.01513187240488627,-0.20126658883935913,MGLU3.SA,MGLU3
2025-10-10,8.453832626342773,8.312307357788086,112330050.0,5,0.0010940555937416288,-0.037866370501101955,MGLU3.SA,MGLU3
2025-10-17,8.114171028137207,7.925468921661377,127159620.0,5,0.00870348841371065,-0.04765574277189186,MGLU3.SA,MGLU3
2025-10-24,7.8688578605651855,7.623546123504639,114207030.0,5,0.004120925675461552,-0.038839855952663496,MGLU3.SA,MGLU3
