ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct_m2,delta_medio,delta_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
FESA4,103,8.026276664773765e-9,0.999999991564352,0,0.011288192664874479,0.9266461848725909,0,0.960573196810895,0.9605669280173844,0.9624412364865368
FHER3,103,1.2945799100083741,0.9417475391571675,5.825242718446602,0.6492260417700959,0.9417483438971143,5.825242718446602,0.9773321066751458,0.9905952053856798,0.9949772653085556
FLRY3,103,9.081768079466893e-9,0.9999999949499359,0,5.6219745637578085e-9,0.9999999789892742,0,0.9856096421213013,0.9857948262127011,0.9857949149998276
FRAS3,103,0.0015185905597841468,0.9967541404186374,0,0.0011682886449480485,0.9891380910380578,0,0.9853619065733404,0.985301982502726,0.9853088369261352
GEPA3,103,0.10428617989552322,0.975859033098504,0,0.002509905569191519,0.987988373495622,0,0.9466372221390439,0.942425379792027,0.9415390734892997
GEPA4,103,0.14498718149756973,0.8954767827966675,0,4.570400814858236e-9,0.9999988551213322,0,0.956823985790613,0.9651214362299673,0.9614289495368759
GFSA3,103,39.105342549464154,0.5145775494487459,48.54368932038835,14.248781369831166,0.43689318510119013,56.310679611650485,0.8497344965901157,0.8957047876231075,0.8786690207446889
GGBR3,103,9.111131024262983e-9,0.9999993612167152,0,5.633722190556012e-9,0.9999995682459198,0,0.996559653414191,0.9966228855160618,0.9966228831737776
GGBR4,103,9.606021758683978e-9,0.9999998916018793,0,6.308241021433371e-9,0.9999996165333774,0,0.992625204127945,0.9927156592115204,0.9926639090830169
GMAT3,103,0.017101585924396014,0.9932284135760133,0,8.931538945360367e-9,0.9999999835547011,0,0.9848227833723991,0.9848914937887562,0.9848230321804057
GOAU3,103,9.494346089548669e-9,0.9999988795253831,0,1.1884407582011427e-8,0.9999943872350281,0,0.9963176432003069,0.9964117449139743,0.9964124238565475
GOAU4,103,9.679905064772379e-9,0.999999693313418,0,7.864125339360905e-9,0.9999984471315049,0,0.9940845876670127,0.9942026984744565,0.9942012383364373
GRND3,103,9.999429274804575e-9,0.9999999931277049,0,0.003013028637525251,0.98735224135502,0,0.9864440836266357,0.9865035459800044,0.9863366131804773
GSHP3,103,9.071753545632162e-9,0.9999999999659559,0,0.03718644481295109,0.1226101187814086,81.81818181818183,0.6915932836172131,0.6225302941591255,0.6285674500931782
HAGA3,103,0.6809100712237351,0.9509569236249885,0,0.006961877038306377,0.9902909728406157,0.9708737864077669,0.9411816014697698,0.936356509199603,0.9386403339004179
