ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
BRAP4,103,-0.1591,0.3648,18.4466,0.5417,0.2616,-0.1591,0.3648,18.4466,0.0,1.0,0.0,0.0757,0.1008,0.9931,0.9931,0.0
BRAV3,103,-0.1002,0.4274,20.3883,0.7689,0.7091,-0.1002,0.4274,20.3883,0.146,0.8836,0.0,0.1553,0.1508,0.8254,0.7825,0.6903
BRKM3,103,-0.0051,0.5652,10.6796,0.4289,0.2276,-0.0051,0.5652,10.6796,0.0,1.0,0.0,-0.3502,-0.3366,0.9931,0.9934,0.6269
BRKM5,103,-0.1021,0.4557,16.5049,0.2775,0.2416,-0.1021,0.4557,16.5049,0.0,1.0,0.0,-0.1788,-0.1995,0.9758,0.9756,0.0
BRKM6,103,-0.0435,0.0398,97.0874,0.6664,0.6243,-0.0435,0.0398,97.0874,0.0,1.0,0.0,0.0335,0.0501,0.9782,0.888,0.9925
BRSR3,103,-1.9348,0.1033,74.7573,0.5114,-0.1223,-1.9348,0.1033,74.7573,0.0019,0.9426,5.8252,-0.0251,0.764,0.9746,0.9816,0.8022
BRSR5,103,-0.0255,0.6947,0.9709,0.5096,0.5073,-0.0255,0.6947,0.9709,0.173,0.8569,0.0,0.3765,0.369,0.619,0.5755,0.9925
BRSR6,103,0.0171,0.3032,33.9806,-0.0082,0.1457,0.0171,0.3032,33.9806,0.0,1.0,0.0,0.4007,0.2599,0.9579,0.9515,0.0
BSLI3,103,0.0081,0.3862,39.8058,0.3777,0.2291,0.0081,0.3862,39.8058,0.0,1.0,0.0,0.158,0.1625,0.9953,0.9962,0.9291
CAMB3,103,-0.008,0.5476,8.7379,0.769,0.7135,-0.008,0.5476,8.7379,0.0,1.0,0.0,0.0919,0.0676,0.9843,0.9844,0.7276
CAML3,103,0.5393,0.048,83.4951,0.2861,-0.2061,0.5393,0.048,83.4951,1.4476,0.9284,3.8835,-0.009,-0.1929,0.9587,0.9002,0.0037
CASH3,103,0.3369,0.0933,83.4951,0.849,0.6609,0.3369,0.0933,83.4951,0.0,1.0,0.0,-0.2906,-0.2687,0.9944,0.9955,0.0
CBEE3,103,-0.4316,0.2537,63.1068,0.8255,0.8916,-0.4316,0.2537,63.1068,0.0,1.0,0.0,-0.1072,-0.1788,0.9567,0.9945,0.9851
CEAB3,103,-0.0979,0.3704,17.4757,0.2659,-0.0025,-0.0979,0.3704,17.4757,0.0714,0.9905,0.0,-0.1439,-0.0247,0.9849,0.9852,0.0
CEBR3,103,0.0215,0.0969,65.0485,-0.0679,-0.0532,0.0215,0.0969,65.0485,0.0,1.0,0.0,-0.2555,-0.2738,0.993,0.9929,0.7052
CEBR5,103,-0.002,0.6416,8.7379,0.2565,0.0889,-0.002,0.6416,8.7379,0.0,1.0,0.0,0.34,0.3588,0.9404,0.9408,0.9664
CEBR6,103,0.0121,0.1013,42.7184,0.0221,-0.0999,0.0121,0.1013,42.7184,0.0385,0.9525,3.8835,0.0287,0.0225,0.9919,0.9869,0.6455
CEDO3,103,0.0444,0.5529,38.835,0.6416,0.4428,0.0444,0.5529,38.835,0.0,1.0,0.0,-0.1361,-0.0551,0.9905,1.0005,0.9963
CEDO4,103,-0.0022,0.4048,11.6505,0.9394,0.9406,-0.0022,0.4048,11.6505,0.2036,0.8473,0.0,0.4919,0.5093,0.9938,1.0875,0.9739
CEEB3,103,-6.3271,0.1945,68.932,0.6503,0.4399,-6.3271,0.1945,68.932,0.0071,0.9155,0.0,0.1462,0.044,0.9634,0.9633,0.9664
CGAS3,103,0.0057,0.1084,35.9223,0.6959,0.4616,0.0057,0.1084,35.9223,0.1079,0.8649,0.0,-0.1749,-0.1388,0.907,0.7116,0.9403
CGAS5,103,-4.8573,0.0452,81.5534,0.8423,0.6674,-4.8573,0.0452,81.5534,0.0,1.0,0.0,1.1731,1.0069,0.999,1.3322,0.7687
CGRA3,103,-0.8546,0.0118,97.0874,0.8779,0.9045,-0.8546,0.0118,97.0874,0.0,1.0,0.0,0.1547,0.2793,0.9385,0.9372,0.9515
CGRA4,103,-0.6216,0.2864,51.4563,0.5448,0.1519,-0.6216,0.2864,51.4563,0.0016,0.9835,0.0,0.08,0.2164,0.986,0.9857,0.7537
CLSC4,103,-3.4683,0.6076,24.5098,0.3928,-0.0505,-3.4683,0.6076,24.5098,0.0009,0.9848,0.0,0.3675,0.5291,0.8559,0.842,0.8843
CMIG3,103,-0.4214,0.0145,90.2913,0.2257,0.6857,-0.4214,0.0145,90.2913,0.0,1.0,0.0,0.342,0.0144,0.9952,0.9954,0.0224
CMIG4,103,-0.37,0.1494,71.8447,0.4688,0.5276,-0.37,0.1494,71.8447,0.0,1.0,0.0,0.2456,0.2465,0.9977,0.9981,0.0
COCE5,103,-0.074,0.3415,26.2136,0.3848,-0.09,-0.074,0.3415,26.2136,0.0235,0.9024,0.0,0.1716,0.2216,0.9675,0.9847,0.9067
COGN3,103,0.3092,0.166,19.4175,0.4625,-0.1007,0.3092,0.166,19.4175,0.0,1.0,0.0,-0.0945,-0.1341,0.9879,0.9875,0.0
CPFE3,103,0.1676,0.345,10.6796,0.6097,0.2382,0.1676,0.345,10.6796,0.0,1.0,0.0,0.2353,0.1417,0.984,0.9842,0.0037
CPLE3,103,0.65,0.1237,64.0777,0.6812,0.5882,0.65,0.1237,64.0777,2.945,0.2605,58.2524,0.3764,0.2159,0.6952,0.7534,0.0112
CRPG5,103,0.0016,0.4114,17.4757,0.7284,0.2674,0.0016,0.4114,17.4757,0.0145,0.9505,0.0,0.1808,0.3363,0.9875,1.0735,0.7575
CRPG6,103,-0.0177,0.0735,54.3689,0.5079,0.3653,-0.0177,0.0735,54.3689,0.4334,0.9053,8.7379,0.441,0.4033,0.9952,1.0254,0.9888
CSAN3,103,0.0369,0.1234,19.4175,0.2458,0.4049,0.0369,0.1234,19.4175,0.0265,0.9933,0.0,0.0358,-0.0865,0.9838,0.9834,0.0
CSMG3,103,-0.3622,0.0815,72.8155,0.3103,0.4889,-0.3622,0.0815,72.8155,0.0,1.0,0.0,-0.0313,0.0291,0.9792,0.9849,0.0
CSNA3,103,-0.6619,0.1126,1.9417,0.5347,0.7413,-0.6619,0.1126,1.9417,0.0,1.0,0.0,0.3109,0.348,0.7826,0.7947,0.0
CSUD3,103,-0.0106,0.3736,14.5631,0.2509,0.3223,-0.0106,0.3736,14.5631,0.0,1.0,0.0,0.227,0.244,0.9944,0.996,0.5075
