semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3,svi_zeros_pct,svi,svi_diff,svi_log_dev,svi_exp_dev
2024-09-27,9.691649436950684,9.336644172668455,1781780.0,5,0.0012086775560552,-0.0464336173628937,TASA4.SA,TASA4,0.0,22,-10.0,-0.16034265007517945,0.8518518518518517
2024-10-04,9.230142593383787,9.29226779937744,1304490.0,5,0.001482321156473,-0.0047642564735936,TASA4.SA,TASA4,0.0,21,-1.0,-0.20479441264601306,0.814814814814815
2024-10-11,9.21239185333252,8.919511795043945,1264780.0,5,0.0015181495636572,-0.040941421319828,TASA4.SA,TASA4,0.0,21,0.0,-0.1278333715098845,0.8800000000000003
2024-10-18,8.875137329101562,8.848511695861816,1261590.0,5,0.0007573142291858,-0.0079919386782112,TASA4.SA,TASA4,0.0,20,-1.0,-0.09097177820572666,0.9130434782608696
2024-10-25,8.848511695861816,8.706509590148926,1129150.0,5,0.0006748486674395,-0.0161783002888607,TASA4.SA,TASA4,0.0,21,1.0,-0.02247285585205816,0.9777777777777782
2024-11-01,8.555631637573242,8.227251052856445,1585100.0,5,0.0009947906755988,-0.0566190311851055,TASA4.SA,TASA4,0.0,28,7.0,0.2762533766281581,1.3181818181818181
2024-11-08,8.759759902954102,9.079265594482422,2764740.0,5,0.0059799590198777,0.0985413642325699,TASA4.SA,TASA4,0.0,33,5.0,0.4353180712578455,1.5454545454545454
2024-11-15,8.910636901855469,8.218376159667969,1486540.0,4,0.0038045815449943,-0.0996206656098068,TASA4.SA,TASA4,0.0,24,-9.0,0.10536051565782634,1.1111111111111112
2024-11-22,8.040874481201172,8.094125747680664,1635700.0,4,0.0007761278437904,-0.0152340598212684,TASA4.SA,TASA4,0.0,22,-2.0,0.02197890671877545,1.0222222222222224
2024-11-29,8.209501266479492,8.138500213623047,1922250.0,5,0.0021470705679358,0.0054673318517729,TASA4.SA,TASA4,0.0,15,-7.0,-0.3409265869705931,0.7111111111111112
