ticker_b3,semana,rv,rv_pred_m0,rv_pred_m1,omega,alpha,beta,leverage_m1,status_m1,rv_pred_m2,alpha_m2,beta_m2,leverage_m2,gamma,gamma_pval,status_m2,rv_pred_m3,omega_m3,alpha_m3,beta_m3,status_m3,rv_pred_m4,alpha_m4,beta_m4,delta_m4,delta_pval_m4,status_m4
RANI3,2026-02-27,9.08722176255e-4,5.18286323217e-4,8.954994086390741e-4,0.1722488473236086,0.11973622369108256,0.9362938588409281,-0.2626051851023617,ok,0.0016061685931205087,0.150602353220925,0.9199425861650631,-0.3081949161244272,0.028529710001389364,0,ok,8.425731989040503e-4,2.1109217092940278e-7,2.371676857249742e-8,0.9978401455069908,ok,8.425732584378248e-4,4.166550111179056e-8,0.9978401138558202,8.602831757807177e-9,0.9999792631609754,ok
RANI3,2026-03-06,8.422742370548e-4,9.08722176255e-4,0.0016991844020529012,0.16677145297683496,0.11662251032742367,0.9290236962263123,-0.2961652430684513,ok,9.980384692046445e-4,0.13302866542492614,0.9190081590264065,-0.3176641342765101,0.003076156323217269,0,ok,8.691133884445154e-4,5.816227791919888e-7,3.241958718984902e-9,0.9983893065053353,ok,8.691133083312996e-4,2.4288474613814816e-9,0.9983893067244766,9.251974174187469e-9,0.9999926804920305,ok
RANI3,2026-03-13,0.002225423864558,8.422742370548e-4,7.755370246177917e-4,0.1729715287865645,0.06538396287591342,0.9227526114723921,-0.3486138464048419,ok,0.0011328285268568507,-0.12218348693702227,-0.24496050663185426,-0.019815260921596623,-0.1703510919936428,0.7543741878245807,ok,8.586908547886724e-4,5.459338909611365e-7,2.6240584161716147e-9,0.998461075091906,ok,8.586912101229428e-4,6.356836794663553e-9,0.9984610436464763,9.36289516717652e-9,0.999985525765305,ok
RANI3,2026-03-20,0.0010028569484219,0.002225423864558,7.185539270069606e-4,0.18300861685666572,0.07527594701438683,0.9215169227694442,-0.29541679117618924,ok,0.0012445291230657157,-0.11819926616291959,-0.3679312736647628,-0.07532618963194769,-0.08845078066715656,0.8449570690366537,ok,9.355085507738757e-4,6.90200980781468e-6,8.628032616016913e-13,0.998807488412516,ok,9.355083220606026e-4,1.712604807576399e-10,0.9988074322797933,9.791028586359114e-9,0.9999995389803882,ok
RAPT3,2024-04-05,0.0016567509183488,9.104791912435e-4,0.0017379817553983177,0.16963356492844137,-0.10961536377972787,0.9302695572086798,-0.17877826225726426,ok,0.001397735087421067,-0.14045381233176077,-0.10650091507720078,0.06864463599544304,-0.008422965368466739,0.15836529977130076,ok,0.0013463127125936311,0.0096140038913025,6.868395661203308e-10,0.9989996744390675,ok,0.0013433887203484587,1.7229453671416366e-8,0.9996828395538826,5.622924141348904e-9,0.9999949334041291,ok
RAPT3,2024-04-12,0.0024917207161123,0.0016567509183488,0.001429870555532101,2.4620622910950445,-0.10418579883784122,0.05973186368748974,0.029535097090260566,ok,0.0015080592273430287,-0.13773733870246962,-0.13915569282725396,0.07299374135796147,-0.008038553833453373,0.18690100496245687,ok,0.0013502604058032552,0.012194512725393269,1.4166288749196687e-9,0.9989994563508737,ok,0.0013453499317961093,1.3157375618459706e-8,0.9998709711401746,5.39826688044343e-9,0.9999995958685228,ok
RAPT3,2024-04-19,0.0020562521850201,0.0024917207161123,0.0016652881242214786,0.21735894847990977,-0.273855215285151,0.8995644188367757,-0.47946743781667334,ok,0.0012749049500940463,-0.13519709237882915,-0.13948854008618403,0.07193302438500637,-0.008058254632744202,0.1862615246092989,ok,0.0013429535218931314,0.011448655452171946,7.25247149835959e-10,0.9989991514840734,ok,0.0013384589085432658,3.544230169139477e-9,0.9998193994096451,3.1538427944236773e-9,0.9999982214077816,ok
RAPT3,2024-04-26,0.0033079133082104,0.0020562521850201,0.001277879957338751,4.91127750755344,-0.023540696058519647,-0.8591176687025752,-0.09891907762800707,ok,0.0022864745098568518,-0.11195893196038892,-0.08959134467637975,0.09297681741493924,-0.008615322159236181,0.16197469591874936,ok,0.001463076270952503,0.5441994756932969,1.3666909191503727e-11,0.9628072148057624,ok,0.0014630911177988476,2.1116388217210497e-11,0.9627756549629497,2.9606823269763484e-9,0.9999998719767267,ok
RAPT3,2024-05-03,0.0017534303436811,0.0033079133082104,0.001506911845397159,0.2618617892690467,-0.17210823299453565,0.8932414393015911,-0.445309788065683,ok,0.0014967032840304195,-0.15974745198827053,0.915295804223779,-0.5225030768913168,2.1899185114532225e-4,0,ok,0.0014812660573803457,0.49111662277708745,4.6358205475052825e-14,0.9668489004252794,ok,0.001481299559339846,2.586297841472085e-10,0.96706985978426,3.5493707665472605e-9,0.9999998528229312,ok
RAPT3,2024-05-10,0.0016554881883563,0.0017534303436811,0.001371599415195729,2.6240055302419374,-0.09233756243075276,0.011240819319304743,0.04318361259569565,ok,0.0013578014435814817,-0.1269589049240217,-0.13348160575026602,0.08905551533941845,-0.00843773986745192,0.16730936346336844,ok,0.0014697360378752864,0.5460040502842449,6.172974888183943e-12,0.9628521858917096,ok,0.0014697499935579265,4.650022565727708e-12,0.9628762815206033,2.5221500220469078e-9,0.9999998938968049,ok
