ticker,status,semanas,svi_media,svi_std,svi_zeros_pct
PDTC3,ok,268,10.89,14.69,54.8507
ALUP4,ok,268,22.98,18.57,29.8507
CGRA4,ok,268,8.32,15.73,75.3731
BPAC3,ok,268,5.35,11.11,76.1194
BSLI3,ok,268,1.96,8.65,92.9104
BAZA3,ok,268,18.23,26.7,65.6716
WHRL4,ok,268,6.87,19.29,88.0597
EALT4,ok,268,12.03,22.01,73.8806
MGEL4,ok,268,0.37,6.11,99.6269
TASA3,ok,268,16.84,17.49,44.0299
UNIP3,ok,268,26.78,21.24,28.7313
ALPA3,ok,268,0.46,6.12,96.2687
ALUP3,ok,268,15.99,25.02,69.0299
EPAR3,ok,268,4.43,14.99,90.6716
LOGN3,ok,268,3.68,7.63,57.8358
COCE5,ok,268,3.43,12.05,90.6716
BEES3,ok,268,38.07,17.91,9.7015
ENGI4,ok,268,10.3,19.77,76.4925
FHER3,ok,268,4.92,8.56,41.791
PINE3,ok,268,1.55,9.13,96.6418
HAGA4,ok,268,3.66,11.58,87.6866
WHRL3,ok,268,1.2,9.95,98.5075
BMEB3,ok,268,1.04,7.18,96.2687
EQPA3,ok,268,5.16,16.8,90.6716
LUXM4,ok,268,0.37,6.11,99.6269
HAGA3,ok,268,2.39,12.68,96.2687
DEXP4,ok,268,0.65,7.59,99.2537
BRSR3,ok,268,8.71,18.77,80.2239
HOOT4,ok,268,1.93,8.92,93.6567
MWET4,ok,268,2.69,12.41,94.7761
REDE3,ok,268,3.27,12.59,92.9104
CEBR5,ok,268,2.3,12.63,96.6418
OFSA3,ok,268,4.58,16.25,92.1642
WLMM4,ok,268,1.63,11.91,98.1343
TELB4,ok,268,11.79,22.91,77.6119
NUTR3,ok,268,1.24,10.18,98.5075
CGRA3,ok,268,3.39,15.41,95.1493
BALM4,ok,268,0.67,7.81,99.2537
CTSA3,ok,268,3.69,13.32,91.0448
CTKA4,ok,268,0.9,8.65,98.8806
OIBR4,ok,268,21.12,20.63,5.2239
INEP4,ok,268,14.69,17.16,47.3881
CEBR6,ok,268,15.45,22.54,64.5522
BEES4,ok,268,13.17,21.67,70.8955
RSUL4,ok,268,2.65,13.79,96.2687
EMAE4,ok,268,6.76,15.58,81.7164
ENGI3,ok,268,14.69,20.47,61.9403
RPAD6,ok,268,0.37,6.11,99.6269
NEXP3,ok,268,4.19,12.69,88.0597
RPMG3,ok,268,5.3,13.87,80.9701
CRPG5,ok,268,9.8,18.61,75.7463
AVLL3,ok,268,0.67,7.77,99.2537
ISAE3,ok,268,5.93,15.19,83.5821
CEBR3,ok,268,5.4,10.37,70.5224
EKTR4,ok,268,1.03,8.37,98.1343
OSXB3,ok,268,9.4,20.48,77.9851
PLAS3,ok,268,1.15,9.58,98.5075
VSTE3,ok,268,3.51,15.5,94.7761
EUCA3,ok,268,3.39,15.37,95.1493
FESA3,ok,268,2.1,12.27,97.0149
CLSC4,ok,268,5.13,14.99,88.4328
BMIN4,ok,268,1.39,9.11,97.0149
BGIP4,ok,268,2.74,13.74,95.8955
PATI3,ok,268,1.93,12.12,97.3881
MNDL3,ok,268,1.46,10.74,98.1343
TELB3,ok,268,3.99,13.61,91.4179
CGAS5,ok,268,5.37,12.53,76.8657
MTSA4,ok,268,1.08,7.47,97.0149
TKNO4,ok,268,0.37,6.11,99.6269
BNBR3,ok,268,1.76,11.77,97.7612
MRSA3B,ok,268,0.37,6.11,99.6269
EALT3,ok,268,0.63,6.57,98.5075
CEDO3,ok,268,0.37,6.11,99.6269
CTSA4,ok,268,2.46,10.11,92.1642
BGIP3,ok,268,0.64,7.48,99.2537
GEPA4,ok,268,1.98,12.25,97.3881
PATI4,ok,268,0.37,6.11,99.6269
CEDO4,ok,268,1.53,9.8,97.3881
RPAD5,ok,268,0.37,6.11,99.6269
DOHL4,ok,268,1.57,11.47,98.1343
DTCY3,vazio,0,,,
BMKS3,ok,268,2.04,10.36,95.1493
SNSY5,vazio,0,,,
JFEN3,ok,268,7.5,13.69,64.9254
PPLA11,ok,268,0.64,7.48,99.2537
PEAB4,ok,268,1.65,11.33,97.7612
CEEB3,ok,268,1.56,9.54,96.6418
AHEB3,ok,268,0.7,8.08,99.2537
GSHP3,ok,268,0.59,7.08,99.2537
GEPA3,ok,268,0.66,7.73,99.2537
BRKM6,ok,268,0.69,7.96,99.2537
ENMT3,ok,268,1.32,10.77,98.5075
WLMM3,vazio,0,,,
BDLL4,ok,268,0.69,8.0,99.2537
SOND5,vazio,0,,,
CTKA3,vazio,0,,,
ESTR4,ok,268,1.26,9.56,98.1343
CBEE3,ok,268,0.85,7.59,98.5075
PTNT3,ok,268,2.28,13.16,97.0149
EQMA3B,ok,268,0.37,6.11,99.6269
UNIP5,ok,268,4.44,16.12,92.1642
AXIA5,vazio,0,,,
HETA4,ok,268,0.94,8.9,98.8806
PEAB3,ok,268,0.37,6.11,99.6269
CGAS3,ok,268,2.9,12.8,94.0299
RPAD3,ok,268,0.74,8.58,99.2537
HBTS5,ok,268,0.72,7.29,98.8806
BRSR5,ok,268,0.71,8.24,99.2537
CRPG6,ok,268,0.95,9.0,98.8806
AFLT3,ok,268,0.37,6.11,99.6269
